,left_side,right_side,similairity
213,adesto technologies,coto technology,0.5506556100075831
214,adesto technologies,enmo technologies,0.5228670137877011
215,adesto technologies,mc technologies,0.5189368432748378
216,adesto technologies,bestar technologies,0.5098717807532134
217,adesto technologies,bi technologies,0.5061234106803901
218,adesto technologies,lm technologies,0.5017511432350383
220,"adesto technologies corporation, inc",adesto technologies,0.7413776159052523
221,"adesto technologies corporation, inc",nmb technologies corporation,0.6283472366665649
222,"adesto technologies corporation, inc",icron technologies corp,0.5575701315276029
223,"adesto technologies corporation, inc",opto tech corporation,0.5422408049075654
224,"adesto technologies corporation, inc",intrinsyc technologies corporation,0.5367633621052981
228,adi (analog devices inc.),"analog devices, inc.",0.7760261206283089
229,adi (analog devices inc.),analog devices inc.,0.7760261206283089
230,adi (analog devices inc.),analog devices,0.7091324382852708
231,adi (analog devices inc.),hittite (analog devices),0.6154552618262156
232,adi (analog devices inc.),hittite / analog devices,0.5101468473881349
235,"adi (analog devices, inc.)","analog devices, inc.",0.7760261206283089
236,"adi (analog devices, inc.)",analog devices inc.,0.7760261206283089
237,"adi (analog devices, inc.)",analog devices,0.7091324382852708
238,"adi (analog devices, inc.)",hittite (analog devices),0.6154552618262156
239,"adi (analog devices, inc.)",hittite / analog devices,0.5101468473881349
241,adi engineering,lin engineering,0.7389297021114124
242,adi engineering,d3 engineering,0.6985351886450822
243,adi engineering,vision engineering,0.6902279807599756
244,adi engineering,banner engineering,0.657278873277853
245,adi engineering,pulse engineering,0.6471642600976201
246,adi engineering,amtek engineering,0.6425878812300166
247,adi engineering,payne engineering,0.6193963967850854
248,adi engineering,clarity engineering,0.6164315799644278
249,adi engineering,decade engineering,0.6135784495414695
250,adi engineering,nuvation engineering,0.6101004892988
251,adi engineering,alwayse engineering,0.5677599688808896
252,adi engineering,colorado engineering inc,0.5411243834881649
253,adi engineering,"g5 engineering solutions, inc",0.5267239193533623
256,adlink technology,"adlink technology, inc",0.8913912880097346
257,adlink technology,d-link,0.5285942608109783
259,"adlink technology, inc",adlink technology,0.8913912880097346
260,"adlink technology, inc","key technology, inc",0.5338410983991824
261,"adlink technology, inc","vantron technology, inc",0.5158417430974683
263,advanced analogic technologies,"capital advanced technologies, inc.",0.5395324644416886
264,advanced analogic technologies,mc technologies,0.525912549471363
267,advanced linear devices,"advanced linear devices, inc.",0.9536413946094998
269,"advanced linear devices, inc.",advanced linear devices,0.9536413946094998
271,advanced photonix,advanced photonix (luna optoelectronics),0.6544912638726187
273,advanced photonix (luna optoelectronics),advanced photonix,0.6544912638726187
274,advanced photonix (luna optoelectronics),luna optoelectronics,0.6280102895791402
277,"advanced semiconductor, inc.","akm semiconductor, inc.",0.5702738010168983
278,"advanced semiconductor, inc.","trigence semiconductor, inc",0.566372818161008
279,"advanced semiconductor, inc.",on semiconductor,0.5483375024222639
280,"advanced semiconductor, inc.",ami semiconductor / on semiconductor,0.5442092929742013
281,"advanced semiconductor, inc.",giantec semiconductor inc,0.5316221786701683
282,"advanced semiconductor, inc.",sanyo semiconductor / on semiconductor,0.5286689061517533
283,"advanced semiconductor, inc.",qspeed semiconductor,0.5190588480653268
284,"advanced semiconductor, inc.",catalyst semiconductor / on semiconductor,0.5082452626435
285,"advanced semiconductor, inc.",pulsecore semiconductor / on semiconductor,0.5038695970344715
286,"advanced semiconductor, inc.","freescale semiconductor, inc. (nxp semiconductors)",0.5035043208333888
287,"advanced semiconductor, inc.",triad semiconductor,0.5000378416799287
289,advanced sensors / amphenol,amphenol advanced sensors,0.8266602181650222
291,advanced thermal solutions,"advanced thermal solutions, inc.",0.9478994994308814
292,advanced thermal solutions,nextreme thermal solutions,0.5852922588840109
294,"advanced thermal solutions, inc.",advanced thermal solutions,0.9478994994308814
295,"advanced thermal solutions, inc.",nextreme thermal solutions,0.5547982392169241
298,advantech,antec,0.5696253564447343
302,ael crystals,micro crystal,0.60244556850898
308,aero,compaero,0.6041500899255969
309,aero,aero electric,0.5739482368367769
310,aero,aeroflex,0.569374924429108
311,aero,aerovox,0.5613733705211204
312,aero,hero,0.5159980362423188
314,aero electric,pro elec,0.5948485935518824
315,aero electric,aero,0.5739482368367769
317,aeroflex,aero,0.569374924429108
318,aeroflex,synchroflex,0.5194473086623264
320,aeroflex (macom technology solutions),macom technology solutions,0.7161576126057235
321,aeroflex (macom technology solutions),m/a-com technology solutions,0.7161576126057235
322,aeroflex (macom technology solutions),metelics (macom technology solutions),0.7066679475087801
324,aerospace defense and marine / te connectivity,te connectivity aerospace defense and marine,0.9095942606013119
326,aerospace wire & cable,pic wire & cable,0.6042106966221854
327,aerospace wire & cable,pmc wire & cable,0.5732406209310678
328,aerospace wire & cable,jsc wire & cable,0.5643805731616803
329,aerospace wire & cable,allied wire & cable,0.5485374889372991
330,aerospace wire & cable,belden wire & cable,0.544955593607516
331,aerospace wire & cable,houston wire & cable,0.5339305363934834
334,aerovox,aero,0.5613733705211204
336,aesco,desco,0.6623782707213279
338,aet - te connectivity,te connectivity,0.7304668754784235
339,aet - te connectivity,augat - te connectivity,0.645523346415489
340,aet - te connectivity,elcon - te connectivity,0.6375264645217827
341,aet - te connectivity,hts - te connectivity,0.6366233541506985
342,aet - te connectivity,amp - te connectivity,0.6363183019610497
343,aet - te connectivity,agastat - te connectivity,0.6360290817169181
344,aet - te connectivity,agastat / te connectivity,0.6360290817169181
345,aet - te connectivity,cgs - te connectivity,0.6281407036867676
346,aet - te connectivity,citec - te connectivity,0.6219259854522478
347,aet - te connectivity,citec / te connectivity,0.6219259854522478
348,aet - te connectivity,ma-com - te connectivity,0.6092274418507899
349,aet - te connectivity,amp connectors / te connectivity,0.6042370724581917
350,aet - te connectivity,oeg - te connectivity,0.6027947063536465
351,aet - te connectivity,oeg / te connectivity,0.6027947063536465
352,aet - te connectivity,elcon connectors / te connectivity,0.6025427606982654
353,aet - te connectivity,cii - te connectivity,0.6007803295875456
354,aet - te connectivity,cii / te connectivity,0.6007803295875456
355,aet - te connectivity,microdot - te connectivity,0.594263219946133
356,aet - te connectivity,corcom / te connectivity,0.5919805835870259
357,aet - te connectivity,corcom - te connectivity,0.5919805835870259
358,aet - te connectivity,quad - te connectivity,0.5913971741341628
359,aet - te connectivity,simel - te connectivity,0.5833168975836096
360,aet - te connectivity,axicom / te connectivity,0.5790673076545872
361,aet - te connectivity,axicom - te connectivity,0.5790673076545872
362,aet - te connectivity,amtronics - te connectivity,0.5784366268716806
363,aet - te connectivity,nanonics - te connectivity,0.5657038739616048
364,aet - te connectivity,neohm - te connectivity,0.5623798294383562
365,aet - te connectivity,crompton - te connectivity,0.5512607860087747
366,aet - te connectivity,deutsch connectors / te connectivity,0.5486435108443809
367,aet - te connectivity,hartman - te connectivity,0.5448183993129257
368,aet - te connectivity,midtex - te connectivity,0.5421015114940401
369,aet - te connectivity,deutsch ict / te connectivity,0.5393225741176173
370,aet - te connectivity,te connectivity amp connectors,0.5367714582701031
371,aet - te connectivity,raychem - te connectivity,0.5284553994079003
372,aet - te connectivity,raychem / te connectivity,0.5284553994079003
373,aet - te connectivity,buchanan / te connectivity,0.5277147067363628
374,aet - te connectivity,buchanan - te connectivity,0.5277147067363628
375,aet - te connectivity,polamco / te connectivity,0.5202397470054734
376,aet - te connectivity,nevalo - te connectivity,0.520203326216462
377,aet - te connectivity,powersystems - te connectivity,0.5198538560884811
378,aet - te connectivity,q-cee's / te connectivity,0.5179398016011131
379,aet - te connectivity,schrack - te connectivity,0.5176178445055486
380,aet - te connectivity,kilovac - te connectivity,0.516775631496525
381,aet - te connectivity,kilovac / te connectivity,0.516775631496525
382,aet - te connectivity,te connectivity's elcon connectors,0.5140836312517315
383,aet - te connectivity,greenpar - te connectivity,0.5069320828992548
385,afc cable systems,able systems,0.7247274525661129
386,afc cable systems,coleman cable systems,0.6092262024757477
387,afc cable systems,corning cable systems,0.6082129263129964
388,afc cable systems,perle systems,0.5035933183053312
389,afc cable systems,biw cable sys,0.5015128008959379
391,afero,"afero, inc",0.7602982863401324
393,"afero, inc",afero,0.7602982863401324
395,affinity medical technologies - a molex company,molex affinity medical technologies ,0.7943317009435364
396,affinity medical technologies - a molex company,polymicro technologies - a molex company,0.5694465292715808
397,affinity medical technologies - a molex company,fct - a molex company,0.5089604588478327
399,af international,ecs international,0.6664355373102252
400,af international,ok international,0.6658434884993043
401,af international,gentech international,0.6377318573888647
402,af international,data international,0.6356388910981831
403,af international,p3 international,0.6274149712083568
404,af international,vectron international,0.6218468302376126
405,af international,avo international,0.6179589481387091
406,af international,sae international,0.6138857111443446
407,af international,ggi international,0.6107562676772702
408,af international,international power,0.6101771213186009
409,af international,aitech international,0.6033672215460403
410,af international,international wire,0.6023274173815357
411,af international,digi international,0.6019720173175918
412,af international,kilo international,0.5954405052128539
413,af international,atrix international,0.5943952566149807
414,af international,comus international,0.5943199444852268
415,af international,ecs inc. international,0.5919574619431341
416,af international,touch international,0.5861695288479224
417,af international,american international,0.5788813664154774
418,af international,tri-star international,0.5759756154033703
419,af international,unilite international,0.5705114554668975
420,af international,eurotec international,0.5601684478780067
421,af international,macronix international,0.560135463451177
422,af international,clarke international,0.5526563425077076
423,af international,datapro international,0.5424046059187717
424,af international,tensility international,0.5369394632212479
425,af international,international fiber,0.536702359719721
426,af international,international instruments,0.5353865548740684
427,af international,gp batteries international,0.5058097956052149
428,af international,tensility international corporation,0.5011158030381293
430,agastat relays / te connectivity,te connectivity's agastat relays,0.8140657792780283
431,agastat relays / te connectivity,agastat / te connectivity,0.7579381052864109
432,agastat relays / te connectivity,agastat - te connectivity,0.7579381052864109
433,agastat relays / te connectivity,oeg relays / te connectivity,0.6749078750431551
434,agastat relays / te connectivity,axicom relays / te connectivity,0.6540567752445664
435,agastat relays / te connectivity,schrack relays / te connectivity,0.6107982308022769
436,agastat relays / te connectivity,kilovac relays / te connectivity,0.6033088652115406
437,agastat relays / te connectivity,te connectivity,0.5305934912454073
438,agastat relays / te connectivity,hts - te connectivity,0.5071623412531198
439,agastat relays / te connectivity,cgs - te connectivity,0.5004046864462861
442,agastat - te connectivity,agastat relays / te connectivity,0.7579381052864109
443,agastat - te connectivity,te connectivity's agastat relays,0.6572860140490638
444,agastat - te connectivity,augat - te connectivity,0.6551720608802838
445,agastat - te connectivity,te connectivity,0.6441892354264609
446,agastat - te connectivity,aet - te connectivity,0.6360290817169181
447,agastat - te connectivity,elcon - te connectivity,0.5622262959910945
448,agastat - te connectivity,hts - te connectivity,0.5614298547026739
449,agastat - te connectivity,amp - te connectivity,0.5611608331448019
450,agastat - te connectivity,cgs - te connectivity,0.5539491156025327
451,agastat - te connectivity,citec / te connectivity,0.5484684364337968
452,agastat - te connectivity,citec - te connectivity,0.5484684364337968
453,agastat - te connectivity,ma-com - te connectivity,0.5372697560168442
454,agastat - te connectivity,amp connectors / te connectivity,0.5328688141652264
455,agastat - te connectivity,oeg / te connectivity,0.5315968102602122
456,agastat - te connectivity,oeg - te connectivity,0.5315968102602122
457,agastat - te connectivity,elcon connectors / te connectivity,0.5313746226640907
458,agastat - te connectivity,cii / te connectivity,0.5298203575936002
459,agastat - te connectivity,cii - te connectivity,0.5298203575936002
460,agastat - te connectivity,microdot - te connectivity,0.5240730033766929
461,agastat - te connectivity,corcom - te connectivity,0.522059976064583
462,agastat - te connectivity,corcom / te connectivity,0.522059976064583
463,agastat - te connectivity,quad - te connectivity,0.5215454748572088
464,agastat - te connectivity,simel - te connectivity,0.5144195840771156
465,agastat - te connectivity,axicom - te connectivity,0.5106719259982193
466,agastat - te connectivity,axicom / te connectivity,0.5106719259982193
467,agastat - te connectivity,amtronics - te connectivity,0.5101157368197945
470,agastat / te connectivity,agastat relays / te connectivity,0.7579381052864109
471,agastat / te connectivity,te connectivity's agastat relays,0.6572860140490638
472,agastat / te connectivity,augat - te connectivity,0.6551720608802838
473,agastat / te connectivity,te connectivity,0.6441892354264609
474,agastat / te connectivity,aet - te connectivity,0.6360290817169181
475,agastat / te connectivity,elcon - te connectivity,0.5622262959910945
476,agastat / te connectivity,hts - te connectivity,0.5614298547026739
477,agastat / te connectivity,amp - te connectivity,0.5611608331448019
478,agastat / te connectivity,cgs - te connectivity,0.5539491156025327
479,agastat / te connectivity,citec / te connectivity,0.5484684364337968
480,agastat / te connectivity,citec - te connectivity,0.5484684364337968
481,agastat / te connectivity,ma-com - te connectivity,0.5372697560168442
482,agastat / te connectivity,amp connectors / te connectivity,0.5328688141652264
483,agastat / te connectivity,oeg / te connectivity,0.5315968102602122
484,agastat / te connectivity,oeg - te connectivity,0.5315968102602122
485,agastat / te connectivity,elcon connectors / te connectivity,0.5313746226640907
486,agastat / te connectivity,cii / te connectivity,0.5298203575936002
487,agastat / te connectivity,cii - te connectivity,0.5298203575936002
488,agastat / te connectivity,microdot - te connectivity,0.5240730033766929
489,agastat / te connectivity,corcom - te connectivity,0.522059976064583
490,agastat / te connectivity,corcom / te connectivity,0.522059976064583
491,agastat / te connectivity,quad - te connectivity,0.5215454748572088
492,agastat / te connectivity,simel - te connectivity,0.5144195840771156
493,agastat / te connectivity,axicom - te connectivity,0.5106719259982193
494,agastat / te connectivity,axicom / te connectivity,0.5106719259982193
495,agastat / te connectivity,amtronics - te connectivity,0.5101157368197945
499,aim cambridge - cinch connectivity,aim-cambridge / cinch connectivity solutions,0.7886004698146909
500,aim cambridge - cinch connectivity,cambridge,0.5766216975792822
501,aim cambridge - cinch connectivity,johnson - cinch connectivity,0.500304420924063
503,aim-cambridge / cinch connectivity solutions,aim cambridge - cinch connectivity,0.7886004698146909
504,aim-cambridge / cinch connectivity solutions,cinch connectivity solutions,0.6812413941310991
505,aim-cambridge / cinch connectivity solutions,vitelec / cinch connectivity solutions,0.650578624499461
506,aim-cambridge / cinch connectivity solutions,stratos / cinch connectivity solutions,0.6238082966930611
507,aim-cambridge / cinch connectivity solutions,johnson / cinch connectivity solutions,0.6082075608582995
508,aim-cambridge / cinch connectivity solutions,trompeter / cinch connectivity solutions,0.6032567124203955
509,aim-cambridge / cinch connectivity solutions,semflex / cinch connectivity solutions,0.6016906699908913
510,aim-cambridge / cinch connectivity solutions,midwest microwave / cinch connectivity solutions,0.5421323006530706
511,aim-cambridge / cinch connectivity solutions,cambridge,0.518789883408953
513,aimco,simcom,0.6386298011593106
515,aimtec,mte,0.5265378852414974
517,aim-tti instruments,dent instruments,0.535190616527759
518,aim-tti instruments,west instruments,0.5057001365303093
520,airborn,dearborn,0.5277016096579705
522,airpax,powerpax,0.522210523324224
523,airpax,airpax / sensata technologies,0.5211360335408516
525,airpax / sensata technologies,sensata technologies – airpax,0.7429618268037146
526,airpax / sensata technologies,sensata technologies,0.7257473087973151
527,airpax / sensata technologies,bei sensors / sensata technologies,0.6100712691401367
528,airpax / sensata technologies,crydom / sensata technologies,0.6032572277310222
529,airpax / sensata technologies,airpax,0.5211360335408516
530,airpax / sensata technologies,sensata technologies – bei sensors,0.5180294078126136
531,airpax / sensata technologies,kavlico pressure sensors / sensata technologies,0.5031234001583564
533,aitech international,gentech international,0.8158503187200663
534,aitech international,touch international,0.711236863707676
535,aitech international,ecs international,0.6314005838375478
536,aitech international,ok international,0.6308396594210851
537,aitech international,af international,0.6033672215460403
538,aitech international,data international,0.6022229375238426
539,aitech international,p3 international,0.5944313544986829
540,aitech international,unilite international,0.5901189943262564
541,aitech international,vectron international,0.5891559343522613
542,aitech international,avo international,0.5854724407662995
543,aitech international,sae international,0.5816133365133502
544,aitech international,ggi international,0.5786484099426988
545,aitech international,international power,0.5780997096881071
546,aitech international,international wire,0.5706626698375331
547,aitech international,digi international,0.5703259533881435
548,aitech international,kilo international,0.5641378071603503
549,aitech international,atrix international,0.5631475079670989
550,aitech international,comus international,0.5630761550454216
551,aitech international,ecs inc. international,0.5608378697606905
552,aitech international,eurotec international,0.5551890260232814
553,aitech international,american international,0.5484491931546969
554,aitech international,tri-star international,0.5456961993798811
555,aitech international,macronix international,0.5306887746092023
556,aitech international,clarke international,0.5236028359610955
557,aitech international,datapro international,0.5138900398912338
558,aitech international,tensility international,0.5087122033312279
559,aitech international,international fiber,0.5084875645163499
560,aitech international,international instruments,0.5072409323947878
563,aker,aker technology,0.5636723391943976
564,aker,kern,0.5622661883420617
565,aker,ultimaker,0.5308295393822713
567,aker technology,newer technology,0.6306052727057191
568,aker technology,syfer technology,0.5968092640134804
569,aker technology,aker,0.5636723391943976
570,aker technology,3y power technology,0.5595669389604292
571,aker technology,linear technology,0.5524457777956898
572,aker technology,arbor technology,0.5404791175387553
573,aker technology,ice technology,0.5295406709944409
574,aker technology,led technology,0.5230219086135608
575,aker technology,apacer technology inc.,0.5227443021011018
576,aker technology,empower technologies,0.51513075423353
577,aker technology,micron technology,0.5011669005649614
580,"akm semiconductor, inc.",on semiconductor,0.6030899526372412
581,"akm semiconductor, inc.",ami semiconductor / on semiconductor,0.5985495343191242
582,"akm semiconductor, inc.",lapis semiconductor / rohm semiconductor,0.5938422750875427
583,"akm semiconductor, inc.",rohm semiconductor,0.5847937630334086
584,"akm semiconductor, inc.",giantec semiconductor inc,0.5847055748308069
585,"akm semiconductor, inc.",sanyo semiconductor / on semiconductor,0.5814574129316337
586,"akm semiconductor, inc.","advanced semiconductor, inc.",0.5702738010168983
587,"akm semiconductor, inc.","trigence semiconductor, inc",0.5650351856819338
588,"akm semiconductor, inc.",catalyst semiconductor / on semiconductor,0.5589944332126447
589,"akm semiconductor, inc.",pulsecore semiconductor / on semiconductor,0.5541818498068991
590,"akm semiconductor, inc.","freescale semiconductor, inc. (nxp semiconductors)",0.5537801001438954
591,"akm semiconductor, inc.",pulsecore semiconductor (on semiconductor),0.5362231367619669
592,"akm semiconductor, inc.",qp semiconductor,0.5331176142189918
593,"akm semiconductor, inc.",magnum semiconductor,0.531491425790611
594,"akm semiconductor, inc.",d3 semiconductor,0.5235375657841306
595,"akm semiconductor, inc.",semicoa semiconductors,0.5228266672957737
596,"akm semiconductor, inc.",asi semiconductor,0.5160037123474239
597,"akm semiconductor, inc.",eic semiconductor,0.5150910307631272
598,"akm semiconductor, inc.",union semiconductor,0.5111345377117572
599,"akm semiconductor, inc.",torex semiconductor,0.5097308740979792
600,"akm semiconductor, inc.",micrel semiconductor,0.5077326555920587
608,alarm controls,eurotherm controls,0.5478826896423473
613,alcoswitch switches / te connectivity,te connectivity alcoswitch switches,0.9179996163464513
614,alcoswitch switches / te connectivity,alcoswitch / te connectivity,0.8314872047421994
615,alcoswitch switches / te connectivity,alcoswitch - te connectivity,0.8314872047421994
616,alcoswitch switches / te connectivity,electroswitch,0.5927487911704732
617,alcoswitch switches / te connectivity,mec switches,0.5887096177470506
618,alcoswitch switches / te connectivity,e-switch,0.5646113217662234
619,alcoswitch switches / te connectivity,itw switches,0.5604573645608403
620,alcoswitch switches / te connectivity,c&k switches,0.5442106854764939
621,alcoswitch switches / te connectivity,comax switches,0.5391364541081429
622,alcoswitch switches / te connectivity,nkk switches,0.5361058356283871
625,alcoswitch - te connectivity,alcoswitch switches / te connectivity,0.8314872047421994
626,alcoswitch - te connectivity,te connectivity alcoswitch switches,0.7787905698377253
627,alcoswitch - te connectivity,te connectivity,0.5747125338074005
628,alcoswitch - te connectivity,elcon - te connectivity,0.5740366010236571
629,alcoswitch - te connectivity,elcon connectors / te connectivity,0.5263584476939602
630,alcoswitch - te connectivity,hts - te connectivity,0.5008788669647501
631,alcoswitch - te connectivity,amp - te connectivity,0.5006388597546468
634,alcoswitch / te connectivity,alcoswitch switches / te connectivity,0.8314872047421994
635,alcoswitch / te connectivity,te connectivity alcoswitch switches,0.7787905698377253
636,alcoswitch / te connectivity,te connectivity,0.5747125338074005
637,alcoswitch / te connectivity,elcon - te connectivity,0.5740366010236571
638,alcoswitch / te connectivity,elcon connectors / te connectivity,0.5263584476939602
639,alcoswitch / te connectivity,hts - te connectivity,0.5008788669647501
640,alcoswitch / te connectivity,amp - te connectivity,0.5006388597546468
642,alden,amphenol alden,0.5742461810364875
643,alden,belden,0.5612101813584819
647,alfatronix,batronix,0.5102134124253838
649,alium batteries,gp batteries,0.5567243760184971
651,allegro microsystems,"allegro microsystems, llc.",0.8935507016550792
652,allegro microsystems,lime microsystems,0.5579901023129346
653,allegro microsystems,micro/sys,0.545739220211839
654,allegro microsystems,softec microsystems,0.5061284378063863
656,"allegro microsystems, llc.",allegro microsystems,0.8935507016550792
659,allen,allen wire,0.6340489067263417
661,allen wire,allen,0.6340489067263417
663,alliance memory,"alliance memory, inc.",0.9093360502730382
665,"alliance memory, inc.",alliance memory,0.9093360502730382
667,alliance sensors group a div of hg schaevitz llc,"h.g. schaevitz, llc / alliance sensors group",0.7635714373568254
669,allied,allied telesis,0.6492804389743179
670,allied,allied telesyn,0.6295556903041968
671,allied,allit,0.5440756452761324
672,allied,allied wire & cable,0.5178961230118694
674,allied motion premotec,applied motion,0.6076405029712502
676,allied telesis,allied telesyn,0.7713616553434973
677,allied telesis,allied,0.6492804389743179
679,allied telesyn,allied telesis,0.7713616553434973
680,allied telesyn,allied,0.6295556903041968
